Name,Period,Yards,Team,Games,Year,ProBowl
Odell Beckham Jr.,3 yrs before,75.5,NYG,4,2017,n
Odell Beckham Jr.,2 yrs before,87.7,NYG,12,2018,n
Odell Beckham Jr.,1 yr before,64.7,CLE,16,2019,n
Odell Beckham Jr.,1 yr after,38.4,CLE/LAR,14,2021,n
Odell Beckham Jr.,2 yrs after,0,N/A,0,2022,n
Odell Beckham Jr.,3 yrs after,40.4,BAL,14,2023,n
A.J. Green,3 yrs before,96.4,CIN,10,2016,y
A.J. Green,2 yrs before,67.4,CIN,16,2017,y
A.J. Green,1 yr before,77.1,CIN,9,2018,n
A.J. Green,1 yr after,32.7,CIN,16,2020,n
A.J. Green,2 yrs after,53,ARI,16,2021,n
A.J. Green,3 yrs after,15.7,ARI,15,2022,n
Dez Bryant,3 yrs before,86.4,DAL,16,2012,n
Dez Bryant,2 yrs before,77.1,DAL,16,2013,y
Dez Bryant,1 yr before,82.5,DAL,16,2014,y
Dez Bryant,1 yr after,61.2,DAL,13,2016,y
Dez Bryant,2 yrs after,52.4,DAL,16,2017,n
Dez Bryant,3 yrs after,0,N/A,0,2018,n
